STAT,182,2017 SPRING,3.52
STAT,182,2018 SPRING,3.348
STAT,182,2018 FALL,3.22
STAT,182,2019 FALL,3.78
STAT,182,2020 FALL,3.986
STAT,182,2021 FALL,3.732
STAT,182,2022 FALL,3.919
STAT,182,2023 FALL,3.875
STAT,182,2024 FALL,3.926
STAT,182,Year,Semester,Prof,GPA,Section,A,B,C,D,F,I,Q,S,U,X
STAT,182,2024,FALL,DABNEY A,3.950,905,19,1,0,0,0,0,0,0,0,0
STAT,182,2024,FALL,DABNEY A,3.944,904,17,1,0,0,0,0,0,0,0,0
STAT,182,2024,FALL,DABNEY A,3.895,903,17,2,0,0,0,0,0,0,0,0
STAT,182,2024,FALL,DABNEY A,3.824,902,14,3,0,0,0,0,0,0,0,0
STAT,182,2024,FALL,DABNEY A,4.000,901,20,0,0,0,0,0,0,0,0,0
STAT,182,2023,FALL,DABNEY A,3.833,905,23,0,0,0,1,0,0,0,0,0
STAT,182,2023,FALL,DABNEY A,3.958,904,23,1,0,0,0,0,0,0,0,0
STAT,182,2023,FALL,DABNEY A,3.941,903,16,1,0,0,0,0,0,0,0,0
STAT,182,2023,FALL,DABNEY A,4.000,902,19,0,0,0,0,0,0,0,0,0
STAT,182,2023,FALL,DABNEY A,3.650,901,16,2,1,1,0,0,0,0,0,0
STAT,182,2022,FALL,DABNEY A,3.929,904,13,1,0,0,0,0,0,0,0,0
STAT,182,2022,FALL,DABNEY A,3.917,903,22,2,0,0,0,0,0,0,0,0
STAT,182,2022,FALL,DABNEY A,3.958,902,23,1,0,0,0,0,0,0,0,0
STAT,182,2022,FALL,DABNEY A,3.875,901,23,0,0,1,0,0,1,0,0,0
STAT,182,2021,FALL,DABNEY A,3.800,903,12,3,0,0,0,0,0,0,0,0
STAT,182,2021,FALL,DABNEY A,3.545,902,9,1,0,0,1,0,0,0,0,0
STAT,182,2021,FALL,DABNEY A,3.800,901,12,3,0,0,0,0,0,0,0,0
STAT,182,2020,FALL,DABNEY A,4.000,903,20,0,0,0,0,0,1,0,0,0
STAT,182,2020,FALL,DABNEY A,4.000,902,24,0,0,0,0,0,0,0,0,0
STAT,182,2020,FALL,DABNEY A,3.960,901,24,1,0,0,0,0,0,0,0,0
STAT,182,2019,FALL,DABNEY A,3.600,903,8,1,0,1,0,0,0,0,0,0
STAT,182,2019,FALL,DABNEY A,3.800,902,22,2,0,1,0,0,0,0,0,0
STAT,182,2019,FALL,DABNEY A,3.833,901,22,1,0,1,0,0,0,0,0,0
STAT,182,2018,FALL,DABNEY A,3.080,902,11,9,3,0,2,0,0,0,0,0
STAT,182,2018,FALL,DABNEY A,3.360,901,17,3,3,1,1,0,0,0,0,0
STAT,182,2018,SPRING,DABNEY A,3.348,901,9,13,1,0,0,0,1,0,0,0
STAT,182,2018,SPRING,DABNEY A,3.348,900,8,15,0,0,0,1,1,0,0,0
STAT,182,2017,SPRING,DABNEY A,3.520,900,13,12,0,0,0,0,0,0,0,0
STAT,201,2015 SPRING,2.653,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,201,2015 FALL,,3.01,3.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
